waterBodyID,WBID,MULakeNumber,waterBody,WATER_BODY_DNR,Distance,waterBodyLatitude,waterBodyLongitude,waterBodyDesc,countyID,countryID,ecoregionID,stateID,waterBodyTypeID,MDNRNameID,primarySLAP19,damHeightM,volumeM3,surfAreaHA,watershedAreaHA,notes,geometry
83,7132,84,Paho,Lake Paho,1211,40.4004,-93.6548,,,187,1,29,2,,,12.2,4288810,98.3,1236,,POINT (-10425604.646345878 4924299.058234374)
84,7131,85,Marie,Lake Marie,399,40.4867,-93.5525,,,187,1,29,2,,,15.2,1087929,16.2,139.5,,POINT (-10414216.662437726 4936922.317709432)
85,7144,86,New Milan,Milan Lake North,460,40.1983,-93.1042,,,187,1,29,2,,,11,693216,18.4,273.6,sometimes MU#142,POINT (-10364312.1347151 4894800.677081875)
86,7138,87,Brookfield,Brookfield Lake,751,39.7961,-93.0283,,,187,1,29,2,,,13.1,2333744,45.7,268.3,,POINT (-10355862.985363891 4836356.176746628)
87,7136,88,Marceline (South),New Marceline City Lake,915,39.6617,-92.9956,,,187,1,29,2,,,14.9,3340264,61.4,1053.4,,POINT (-10352222.838014951 4816902.542555938)
88,7207,89,Truman ,Harry S Truman Reservoir,15565,38.2639,-93.4083,,,187,3,29,2,,,38.4,1483506396,21777.9,1839465.7,,POINT (-10398164.391865335 4616773.403047684)
89,7208,90,Montrose,Montrose Lake,3254,38.3086,-93.9169,,,187,1,29,2,,,10.1,13568280,637.7,36839.5,,POINT (-10454781.484882794 4623112.838010239)
90,7234,91,Atkinson,Atkinson Lake,1363,38.0064,-94.0461,,,187,1,29,2,,yes,8.5,3357533,194.6,1700.2,,POINT (-10469163.963093286 4580329.95767877)
91,7238,92,Pomme De Terre,Pomme de Terre Lake,6667,37.9017,-93.32,,,187,3,29,2,,yes,47.2,299735640,3765.8,151482.6,,POINT (-10388334.88082829 4565548.611457047)
92,7235,93,Stockton,Stockton Lake,15884,37.6917,-93.7667,,,187,3,29,2,,yes,49.1,1100264160,11226.9,297418.5,,POINT (-10438061.297365645 4535964.444782981)
93,7356,94,Lamar City,Lamar Lake,997,37.48,-94.2617,,,187,1,29,2,,,7.9,1312423,51,1225.7,,POINT (-10493164.445308316 4506225.465837674)
94,7236,95,McDaniel,McDaniel Lake,1613,37.2939,-93.3142,,,187,3,29,2,,,14.6,5622202,104.5,10046.9,,POINT (-10387689.227781689 4480152.216393479)
95,7237,96,Fellows,Fellows Lake,2390,37.3153,-93.23,,,187,3,29,2,,yes,30.5,32365282,286.4,5143.6,,POINT (-10378316.126656896 4483147.140682693)
96,7312,97,Springfield,Lake Springfield,1712,37.112,-93.2637,,,187,3,29,2,,,13.7,3461145,145.7,70439.2,,POINT (-10382067.593496628 4454729.662098302)
97,7313,98,Table Rock,Table Rock Lake,17710,36.595,-93.3108,,,187,3,29,2,,,76.8,3332862960,16152.2,485267.2,,POINT (-10387310.741512991 4382804.358304365)
98,7314,99,Taneycomo,Lake Taneycomo,5991,36.6589,-93.1239,,,187,3,29,2,,,17.7,24299556,1222.2,562616.7,,POINT (-10366505.12868373 4391667.895747308)
99,7315,100,Bull Shoals,Bull Shoals Lake,19402,36.5308,-92.6047,,,187,3,29,2,,,,,,,,POINT (-10308708.049063861 4373906.596744777)
100,7317,101,Norfork,Norfork Lake,31490,36.5857,-92.2883,,,187,3,29,2,,,,,,,,POINT (-10273486.56217687 4381514.972067897)
101,7316,102,Noblett,Noblett Lake,284,36.9072,-92.0972,,,187,3,29,2,,,9.1,277533,10.7,6338.1,,POINT (-10252213.407486275 4426179.545642314)
103,7321,104,Sims Valley,Sims Valley Community Lake,289,37.0061,-91.8483,,,187,3,29,2,,,10.1,455154,16,239.8,,POINT (-10224505.986227829 4439957.082694665)
104,7239,105,Austin,Austin Community Lake,214,37.1619,-92.1853,,,187,3,29,2,,,8.2,205991,8.9,102.1,,POINT (-10262020.65462516 4461697.649450136)
105,7245,106,Roby,Roby Lake,53,37.5186,-92.123,,,187,3,29,2,,,4.6,129515,3.6,108,,POINT (-10255085.450348742 4511641.579972105)
106,7282,107,Ziske,Mac Lake - Ziske,146,37.6478,-91.5072,,,187,3,29,2,,,7.3,236828,9.7,145.8,,POINT (-10186534.907918243 4529790.546938124)
107,7281,108,Turner,Shawnee Lake - Turner,317,37.6472,-91.5139,,,187,6,29,2,,,9.8,196123,5.9,172,,POINT (-10187280.748506559 4529706.19093555)
108,7322,109,Loggers,Loggers Lake,204,37.3871,-91.2624,,,187,3,29,2,,,11,310837,9.1,694.1,,POINT (-10159283.89657205 4493201.766891745)
109,7287,110,Little Prairie,L. Prairie Comm. Lake,393,37.9969,-91.6917,,,187,3,29,2,,yes,14.6,1603524,38.9,621.9,,POINT (-10207073.353969602 4578987.896094866)
110,7288,111,Indian Hills,Indian Lake,1762,38.1075,-91.4575,,,187,3,29,2,,,15.2,10947135,114.4,3940.5,,POINT (-10181002.329225818 4594623.107759964)
111,7606,112,Shayne,Lac Shayne,416,37.8976,-90.6413,,,187,3,29,2,,yes,21.9,3052863,29.6,211.2,,POINT (-10090143.360840347 4564970.209546754)
112,7192,113,Pape (Concordia),Edwin A Pape Lake,1396,38.9331,-93.5814,,,187,1,29,2,,,12.2,2304141,116.1,2200.3,,POINT (-10417433.795721652 4712093.246986238)
113,7024,114,Henry Sever,Henry Sever Lake,1111,40.0058,-91.975,,,187,1,29,2,,yes,12.5,2591541,56.7,801.9,,POINT (-10238610.165711336 4866785.155496025)
114,7029,115,Hunnewell,Hunnewell Lake,873,39.7072,-91.8619,,,187,1,29,2,,yes,11,2718590,78.4,1034.4,,POINT (-10226019.931302618 4823484.163647275)
115,7358,116,Jacomo,Blue Springs Lake,2709,38.9931,-94.3078,,,187,1,29,2,,,22.6,31737440,432.5,6676.6,,POINT (-10498296.273833886 4720683.254971947)
