WBID,WATER_BODY,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95,Waterbody_,Watershed_
7160,Marceline Reservoir,249.0,140.6,382.3,55.6,5.0,17.0,1184.1,,24.3,,38.8,3680.5,2487.1,133.6,31.9,463850.31,12851360.95
7038,La Plata Lake,143.1,17.7,36.4,4.1,,2.0,206.8,5.1,85.9,,11.0,619.9,608.1,8.1,2.8,152671.54,2690325.38
7039,La Plata City Lake,324.0,69.0,5.1,3.0,,,142.0,,3.9,,14.0,1628.6,684.1,8.0,37.6,615622.99,4484344.78
7156,Ethel Lake,95.7,14.4,11.1,0.8,,,188.8,,42.2,,1.5,205.9,,3.0,2.0,149643.70,865702.41
7157,New Cambria Lake,30.7,15.5,1.9,,,,275.3,,,,,11.3,,1.0,1.4,60885.18,514600.20
7172,Atlanta City Lake,66.1,,,,,,5.9,,0.3,,,2.0,,1.9,1.4,118716.94,118716.94
7328,Fredricktown City Lake,2092.0,5473.4,2405.8,614.4,19.1,214.0,91801.1,1621.4,7625.2,2807.5,596.2,53417.1,2401.7,511.0,82.0,515391.62,246941906.76
7421,Blue Mountain Lake,51.4,3.0,,,,,63.5,2.8,9.8,1.4,,0.5,,,,93207.54,190397.95
7130,Berndt Lake,66.7,31.3,20.3,2.5,,,52.6,,26.3,,6.0,564.9,,,12.0,143663.37,1219485.53
7030,Monroe City Lake A,83.9,30.2,41.6,16.0,,,15.0,,55.4,3.8,8.1,311.0,474.9,22.0,28.1,158220.81,1657011.56
7034,Monroe Lake B,259.7,87.9,83.8,26.0,3.0,3.0,77.1,,3.0,,,590.4,1753.4,19.0,31.5,408943.56,4463575.44
7454,Sportsman Lake,143.8,480.3,385.7,164.6,22.1,0.5,1615.2,5.0,274.1,,26.1,4876.1,1011.7,20.2,9.6,57028.77,13506332.90
7402,Mozingo Lake,4287.8,2865.4,734.0,105.1,17.0,15.0,4970.6,42.0,556.5,129.0,532.8,23623.1,20604.9,196.0,413.9,6968410.00,91881062.99
7187,Spring Fork Lake,453.7,847.7,347.1,89.1,16.0,22.5,2984.8,508.0,876.4,136.6,245.6,19222.2,5367.7,209.0,95.0,852993.94,46273276.81
7003,Old Lake,87.9,31.4,85.2,108.1,12.6,,1757.2,0.8,9.4,3.6,14.1,275.2,328.5,,,189437.61,4089347.75
7004,Bowling Green Reservoir,178.5,63.1,45.7,13.2,2.0,,1844.4,,53.8,20.0,19.4,922.4,462.3,,1.0,287128.24,5462316.06
7032,Vandalia Reservoir,202.7,380.2,221.0,107.8,17.0,186.4,2224.6,,77.4,1.0,40.5,2259.6,4523.1,10.0,10.4,186612.76,15468755.83
7047,Perry City Lake,120.9,193.9,393.1,95.2,26.7,15.8,201.1,,33.1,,2.0,1351.9,6036.4,10.0,6.0,124310.30,12816376.70
7048,Perry City Lake Upper,45.6,159.2,298.2,86.7,25.2,15.8,184.2,,17.0,,1.0,919.4,6002.4,9.0,1.0,70102.09,11726745.06
7165,Old Reservoir,89.1,76.3,104.1,93.7,19.1,5.9,735.8,15.0,2.0,0.6,15.0,479.5,,3.0,3.0,137112.03,2480136.67
7166,Sugar Creek Lake,1668.4,1123.8,1258.0,1019.7,525.4,23.1,7408.7,25.0,341.6,187.0,600.7,9378.0,6490.8,23.7,60.2,2098120.09,45577966.84
7197,Higbee Lake,60.6,245.4,248.7,77.1,19.2,,478.2,6.0,64.0,38.4,15.0,1215.6,,1.5,,89890.15,3718398.92
7012,Downing Reservoir,86.6,10.9,8.7,3.0,,,226.5,,12.0,,4.0,1000.5,,,6.0,154513.56,2118522.91
7017,Lancaster Lake - Old,105.1,68.8,34.0,2.5,,,246.3,,16.5,15.0,52.1,2379.7,112.9,14.0,33.0,160274.72,4804558.74
7018,Lancaster City Lake - New,170.2,71.7,10.0,3.5,,,69.0,,37.1,,2.0,1925.7,56.8,1.0,,298101.80,3658482.23
7037,Schuyler Co. PWSD #1 Lake,119.2,40.8,28.9,6.0,,,45.0,,,,1.0,749.0,1240.1,,2.0,227224.62,3466171.86
7013,Memphis Reservoir,1132.4,271.7,432.6,79.4,3.0,3.0,2180.3,6.0,73.6,43.0,43.0,6647.0,4888.2,329.0,184.1,288001.69,25379242.69
7014,Memphis Lake,940.3,140.2,273.5,67.5,1.5,3.0,1099.7,1.0,48.9,33.0,14.4,4303.9,4293.0,32.9,162.4,1767707.42,17755278.30
7036,Shelbyville Lake,108.4,37.0,37.3,11.1,1.2,,68.5,,44.5,2.0,4.7,471.4,1614.5,16.6,21.3,209724.43,3725641.69
7040,Clarence Lake #2,123.0,40.1,66.7,88.4,14.4,20.0,102.9,,,6.0,3.1,478.6,175.3,5.0,5.6,236157.76,1721331.50
7041,Old Lake,81.6,16.8,25.9,46.2,3.6,8.0,143.2,10.0,16.0,,2.0,574.0,1098.3,2.0,7.2,137241.07,3101329.07
7042,Shelbina Lake,251.4,437.7,497.7,241.0,33.3,32.1,556.4,,29.0,,15.0,1587.9,2910.6,30.0,29.0,357341.81,10128549.32
7144,Milan Lake North,44.1,16.4,62.7,6.0,,,92.2,,64.1,,5.0,615.0,,,20.0,99604.36,1429454.80
7146,Elmwood City Lake,867.5,484.0,152.7,11.0,1.0,,2537.6,13.8,1103.4,58.6,33.3,12276.9,663.0,62.0,65.0,1368391.13,28358136.15
7161,Green City Lake,262.5,128.3,83.3,6.0,,,85.1,,5.0,,3.0,2921.4,594.4,5.0,7.9,390443.65,6350801.84
7439,Milan Lake South,196.4,31.5,28.8,6.0,2.9,,923.5,1.0,255.2,11.0,6.0,1398.2,,11.0,2.9,257869.18,4439007.45
7235,Stockton Lake,117826.2,94444.5,101977.3,31387.9,11097.5,9562.5,900703.8,30816.0,81342.3,16666.3,10418.2,1809181.8,64796.7,9760.3,1691.6,161126741.99,4698267517.16
7238,Pomme de Terre Lake,37692.5,52357.8,53691.3,16966.8,3640.1,3306.6,546699.7,38677.9,76230.3,10319.4,5636.5,939440.7,20439.6,6665.4,442.0,49944783.79,2603904147.47
7313,Table Rock Lake,331412.6,502321.6,322087.4,163083.5,49681.3,23037.3,5219687.2,316015.5,482648.0,108422.6,119166.7,3821684.1,14079.7,14164.4,2881.0,262813881.62,16033418600.19
7314,Lake Taneycomo,340900.7,543429.4,359223.0,190391.5,57460.2,27876.1,5749052.9,380899.4,550851.4,117511.9,130692.0,3978494.5,14079.7,15006.4,3068.7,13413691.80,17394343124.96
7207,Harry S Truman Reservoir,738487.7,937034.9,723945.4,206768.1,50514.0,48545.7,6800313.2,182466.8,482046.4,125267.0,1456558.8,14489050.9,5940879.0,694201.2,249199.5,324205828.49,48246593661.41
7205,Lake of the Ozarks,247507.3,300046.3,120995.2,50526.7,15351.4,10018.5,3968969.2,54941.2,123005.7,80147.7,41295.2,1810656.2,28871.9,29768.6,9517.9,335495235.07,9999149788.74
7077,Smithville Lake,35212.4,15888.2,16381.5,2666.7,496.5,601.0,78418.9,17.0,373.4,359.9,1104.6,236313.8,194386.3,10393.2,1914.0,52598380.72,901130602.56
7097,Longview Lake,5265.8,18433.4,23609.1,14817.0,5866.9,362.9,18379.6,52.0,931.0,422.0,584.9,34829.5,12910.3,188.0,149.0,6383993.61,203374414.25
7171,Long Branch Lake,12554.0,7770.4,4474.2,972.7,106.2,108.0,80080.8,422.0,1718.1,358.0,1581.5,120562.2,45597.0,7001.7,1353.7,18890493.24,436468235.87
